#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   5.65649    -56.925501  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.69284    -56.925054  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.72918    -56.924579  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.76553    -56.924068  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.80188    -56.923540  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.83823    -56.923014  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.87458    -56.922485  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.91093    -56.921979  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.94728    -56.921513  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   5.98362    -56.921106  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.01997    -56.920761  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.05632    -56.920504  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.09267    -56.920344  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.12902    -56.920286  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.12902    -56.920286  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.20172    -56.920533  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.27441    -56.921349  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.34711    -56.922793  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.41981    -56.924899  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.49250    -56.927670  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.56520    -56.931074  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.63790    -56.935047  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.71060    -56.939497  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.78329    -56.944327  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.85599    -56.949378  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   6.92869    -56.954517  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.00138    -56.959569  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.07408    -56.964368  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.14678    -56.968740  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.21948    -56.972551  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.29217    -56.975670  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.36487    -56.977966  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.43757    -56.979380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.51026    -56.979853  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.51026    -56.926890  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.56153    -56.926969  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.61281    -56.927254  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.66408    -56.927727  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.71535    -56.928363  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.76662    -56.929142  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.81789    -56.930043  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.86916    -56.931062  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.92043    -56.932162  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   7.97170    -56.933309  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.02297    -56.934464  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.07424    -56.935601  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.12551    -56.936701  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.17678    -56.937723  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.22805    -56.938631  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.27932    -56.939413  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.33059    -56.940044  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.38186    -56.940503  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.43313    -56.940791  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.48440    -56.940901  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.48440    -56.920286  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.53567    -56.920380  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.58694    -56.920648  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.63821    -56.921099  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.68948    -56.921720  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.74075    -56.922499  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.79203    -56.923414  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.84330    -56.924425  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.89457    -56.925510  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.94584    -56.926643  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   8.99711    -56.927791  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
