#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS: 180  14
# Band-Index:    1
   0.00000    -56.994631
   0.06296    -56.994266
   0.12592    -56.993174
   0.18887    -56.991398
   0.25183    -56.988993
   0.31479    -56.986001
   0.37775    -56.982512
   0.44070    -56.978622
   0.50366    -56.974425
   0.56662    -56.970050
   0.62958    -56.965613
   0.69253    -56.961250
   0.75549    -56.957048
   0.81845    -56.953135
   0.88141    -56.949619
   0.94436    -56.946585
   1.00732    -56.944145
   1.07028    -56.942349
   1.13324    -56.941251
   1.19619    -56.940901
   1.19619    -56.940901
   1.23254    -56.940855
   1.26889    -56.940730
   1.30524    -56.940527
   1.34159    -56.940254
   1.37794    -56.939913
   1.41429    -56.939515
   1.45063    -56.939071
   1.48698    -56.938570
   1.52333    -56.938045
   1.55968    -56.937501
   1.59603    -56.936946
   1.63238    -56.936403
   1.66873    -56.935898
   1.70507    -56.935425
   1.74142    -56.934998
   1.77777    -56.934646
   1.81412    -56.934377
   1.85047    -56.934198
   1.88682    -56.934124
   1.88682    -56.934124
   1.95951    -56.934402
   2.03221    -56.935248
   2.10491    -56.936714
   2.17761    -56.938854
   2.25030    -56.941664
   2.32300    -56.945117
   2.39570    -56.949151
   2.46839    -56.953688
   2.54109    -56.958577
   2.61379    -56.963705
   2.68649    -56.968910
   2.75918    -56.974031
   2.83188    -56.978885
   2.90458    -56.983330
   2.97727    -56.987205
   3.04997    -56.990356
   3.12267    -56.992700
   3.19537    -56.994145
   3.26806    -56.994631
   3.26806    -56.994631
   3.31933    -56.994529
   3.37060    -56.994227
   3.42187    -56.993727
   3.47314    -56.993076
   3.52442    -56.992269
   3.57569    -56.991307
   3.62696    -56.990234
   3.67823    -56.989080
   3.72950    -56.987866
   3.78077    -56.986655
   3.83204    -56.985450
   3.88331    -56.984314
   3.93458    -56.983239
   3.98585    -56.982264
   4.03712    -56.981436
   4.08839    -56.980775
   4.13966    -56.980264
   4.19093    -56.979964
   4.24220    -56.979852
   4.24220    -56.979852
   4.30516    -56.979492
   4.36812    -56.978439
   4.43107    -56.976688
   4.49403    -56.974307
   4.55699    -56.971359
   4.61995    -56.967918
   4.68290    -56.964075
   4.74586    -56.959940
   4.80882    -56.955634
   4.87178    -56.951260
   4.93473    -56.946936
   4.99769    -56.942789
   5.06065    -56.938931
   5.12361    -56.935470
   5.18657    -56.932499
   5.24952    -56.930101
   5.31248    -56.928322
   5.37544    -56.927242
   5.43840    -56.926890
   5.43840    -56.926890
   5.47474    -56.926835
   5.51109    -56.926716
   5.54744    -56.926521
   5.58379    -56.926252
   5.62014    -56.925909
   5.65649    -56.925501
   5.69284    -56.925053
   5.72918    -56.924579
   5.76553    -56.924067
   5.80188    -56.923539
   5.83823    -56.923014
   5.87458    -56.922485
   5.91093    -56.921979
   5.94728    -56.921513
   5.98362    -56.921106
   6.01997    -56.920761
   6.05632    -56.920504
   6.09267    -56.920344
   6.12902    -56.920286
   6.12902    -56.920286
   6.20172    -56.920533
   6.27441    -56.921349
   6.34711    -56.922793
   6.41981    -56.924898
   6.49250    -56.927670
   6.56520    -56.931074
   6.63790    -56.935047
   6.71060    -56.939497
   6.78329    -56.944326
   6.85599    -56.949378
   6.92869    -56.954516
   7.00138    -56.959569
   7.07408    -56.964368
   7.14678    -56.968740
   7.21948    -56.972551
   7.29217    -56.975670
   7.36487    -56.977966
   7.43757    -56.979379
   7.51026    -56.979852
   7.51026    -56.926890
   7.56153    -56.926969
   7.61281    -56.927254
   7.66408    -56.927727
   7.71535    -56.928363
   7.76662    -56.929142
   7.81789    -56.930043
   7.86916    -56.931062
   7.92043    -56.932162
   7.97170    -56.933309
   8.02297    -56.934464
   8.07424    -56.935600
   8.12551    -56.936700
   8.17678    -56.937723
   8.22805    -56.938631
   8.27932    -56.939413
   8.33059    -56.940044
   8.38186    -56.940503
   8.43313    -56.940791
   8.48440    -56.940901
   8.48440    -56.920286
   8.53567    -56.920380
   8.58694    -56.920647
   8.63821    -56.921099
   8.68948    -56.921720
   8.74075    -56.922498
   8.79203    -56.923414
   8.84330    -56.924424
   8.89457    -56.925510
   8.94584    -56.926643
   8.99711    -56.927791
   9.04838    -56.928921
   9.09965    -56.930003
   9.15092    -56.931003
   9.20219    -56.931925
   9.25346    -56.932700
   9.30473    -56.933315
   9.35600    -56.933773
   9.40727    -56.934041
   9.45854    -56.934124
 
# Band-Index:    2
   9.45854    -33.313205
   9.40727    -33.313028
   9.35600    -33.312463
   9.30473    -33.311516
   9.25346    -33.310235
   9.20219    -33.308638
   9.15092    -33.306758
   9.09965    -33.318662
   9.04838    -33.332168
   8.99711    -33.346223
   8.94584    -33.360440
   8.89457    -33.374444
   8.84330    -33.387827
   8.79203    -33.400235
   8.74075    -33.411344
   8.68948    -33.420883
   8.63821    -33.428586
   8.58694    -33.434238
   8.53567    -33.437697
   8.48440    -33.438858
   8.48440    -33.434953
   8.43313    -33.434715
   8.38186    -33.434047
   8.33059    -33.432980
   8.27932    -33.431528
   8.22805    -33.429722
   8.17678    -33.427619
   8.12551    -33.425277
   8.07424    -33.422757
   8.02297    -33.420122
   7.97170    -33.417453
   7.92043    -33.414811
   7.86916    -33.412275
   7.81789    -33.411180
   7.76662    -33.422524
   7.71535    -33.432231
   7.66408    -33.440057
   7.61281    -33.445786
   7.56153    -33.449286
   7.51026    -33.450463
   7.51026    -33.543756
   7.43757    -33.542915
   7.36487    -33.540430
   7.29217    -33.536391
   7.21948    -33.530900
   7.14678    -33.524198
   7.07408    -33.516504
   7.00138    -33.508067
   6.92869    -33.499188
   6.85599    -33.490145
   6.78329    -33.481237
   6.71060    -33.472734
   6.63790    -33.464889
   6.56520    -33.457890
   6.49250    -33.451895
   6.41981    -33.447008
   6.34711    -33.443295
   6.27441    -33.440746
   6.20172    -33.439301
   6.12902    -33.438858
   6.12902    -33.438858
   6.09267    -33.438961
   6.05632    -33.439255
   6.01997    -33.439708
   5.98362    -33.440315
   5.94728    -33.441041
   5.91093    -33.441858
   5.87458    -33.442739
   5.83823    -33.443669
   5.80188    -33.444604
   5.76553    -33.445540
   5.72918    -33.446439
   5.69284    -33.447274
   5.65649    -33.448057
   5.62014    -33.448762
   5.58379    -33.449361
   5.54744    -33.449833
   5.51109    -33.450179
   5.47474    -33.450390
   5.43840    -33.450463
   5.43840    -33.450463
   5.37544    -33.451108
   5.31248    -33.453020
   5.24952    -33.456143
   5.18657    -33.460383
   5.12361    -33.465634
   5.06065    -33.471738
   4.99769    -33.478535
   4.93473    -33.485837
