      #Energy        TDOS
     -60.25604       0.00000
     -60.22004       0.00000
     -60.18504       0.00000
     -60.15004       0.00000
     -60.11404       0.00000
     -60.07904       0.00000
     -60.04304       0.00000
     -60.00804       0.00000
     -59.97204       0.00000
     -59.93704       0.00000
     -59.90104       0.00000
     -59.86604       0.00000
     -59.83104       0.00000
     -59.79504       0.00000
     -59.76004       0.00000
     -59.72404       0.00000
     -59.68904       0.00000
     -59.65304       0.00000
     -59.61804       0.00000
     -59.58204       0.00000
     -59.54704       0.00000
     -59.51204       0.00000
     -59.47604       0.00000
     -59.44104       0.00000
     -59.40504       0.00000
     -59.37004       0.00000
     -59.33404       0.00000
     -59.29904       0.00000
     -59.26304       0.00000
     -59.22804       0.00000
     -59.19304       0.00000
     -59.15704       0.00000
     -59.12204       0.00000
     -59.08604       0.00000
     -59.05104       0.00000
     -59.01504       0.00000
     -58.98004       0.00000
     -58.94404       0.00000
     -58.90904       0.00000
     -58.87404       0.00000
     -58.83804       0.00000
     -58.80304       0.00000
     -58.76704       0.00000
     -58.73204       0.00000
     -58.69604       0.00000
     -58.66104       0.00000
     -58.62504       0.00000
     -58.59004       0.00000
     -58.55504       0.00000
     -58.51904       0.00000
     -58.48404       0.00000
     -58.44804       0.00000
     -58.41304       0.00000
     -58.37704       0.00000
     -58.34204       0.00000
     -58.30604       0.00000
     -58.27104       0.00000
     -58.23604       0.00000
     -58.20004       0.00000
     -58.16504       0.00000
     -58.12904       0.00000
     -58.09404       0.00000
     -58.05804       0.00000
     -58.02304       0.00000
     -57.98804       0.00000
     -57.95204       0.00000
     -57.91704       0.00000
     -57.88104       0.00000
     -57.84604       0.00000
     -57.81004       0.00000
     -57.77504       0.00000
     -57.73904       0.00000
     -57.70404       0.00000
     -57.66904       0.00000
     -57.63304       0.00000
     -57.59804       0.00000
     -57.56204       0.00000
     -57.52704       0.00000
     -57.49104       0.00000
     -57.45604       0.00000
     -57.42004       0.00000
     -57.38504       0.00000
     -57.35004       0.00000
     -57.31404       0.00000
     -57.27904       0.00000
     -57.24304       0.00000
     -57.20804       0.00000
     -57.17204       0.00000
     -57.13704       0.00000
     -57.10104       0.00000
     -57.06604       0.00000
     -57.03104       5.55100
     -56.99504      39.06000
     -56.96004      36.58000
     -56.92404       0.00000
     -56.88904       0.00000
     -56.85304       0.00000
     -56.81804       0.00000
     -56.78204       0.00000
     -56.74704       0.00000
     -56.71204       0.00000
     -56.67604       0.00000
     -56.64104       0.00000
     -56.60504       0.00000
     -56.57004       0.00000
     -56.53404       0.00000
     -56.49904       0.00000
     -56.46304       0.00000
     -56.42804       0.00000
     -56.39304       0.00000
     -56.35704       0.00000
     -56.32204       0.00000
     -56.28604       0.00000
     -56.25104       0.00000
     -56.21504       0.00000
     -56.18004       0.00000
     -56.14404       0.00000
     -56.10904       0.00000
     -56.07404       0.00000
     -56.03804       0.00000
     -56.00304       0.00000
     -55.96704       0.00000
     -55.93204       0.00000
     -55.89604       0.00000
     -55.86104       0.00000
     -55.82504       0.00000
     -55.79004       0.00000
     -55.75504       0.00000
     -55.71904       0.00000
     -55.68404       0.00000
     -55.64804       0.00000
     -55.61304       0.00000
     -55.57704       0.00000
     -55.54204       0.00000
     -55.50604       0.00000
     -55.47104       0.00000
     -55.43604       0.00000
     -55.40004       0.00000
     -55.36504       0.00000
     -55.32904       0.00000
     -55.29404       0.00000
     -55.25804       0.00000
     -55.22304       0.00000
     -55.18804       0.00000
     -55.15204       0.00000
     -55.11704       0.00000
     -55.08104       0.00000
     -55.04604       0.00000
     -55.01004       0.00000
     -54.97504       0.00000
     -54.93904       0.00000
