      #Energy        TDOS
     -60.25604       0.00000
     -60.22004       0.00000
     -60.18504       0.00000
     -60.15004       0.00000
     -60.11404       0.00000
     -60.07904       0.00000
     -60.04304       0.00000
     -60.00804       0.00000
     -59.97204       0.00000
     -59.93704       0.00000
     -59.90104       0.00000
     -59.86604       0.00000
     -59.83104       0.00000
     -59.79504       0.00000
     -59.76004       0.00000
     -59.72404       0.00000
     -59.68904       0.00000
     -59.65304       0.00000
     -59.61804       0.00000
     -59.58204       0.00000
     -59.54704       0.00000
     -59.51204       0.00000
     -59.47604       0.00000
     -59.44104       0.00000
     -59.40504       0.00000
     -59.37004       0.00000
     -59.33404       0.00000
     -59.29904       0.00000
     -59.26304       0.00000
     -59.22804       0.00000
     -59.19304       0.00000
     -59.15704       0.00000
     -59.12204       0.00000
     -59.08604       0.00000
     -59.05104       0.00000
     -59.01504       0.00000
     -58.98004       0.00000
     -58.94404       0.00000
     -58.90904       0.00000
     -58.87404       0.00000
     -58.83804       0.00000
     -58.80304       0.00000
     -58.76704       0.00000
     -58.73204       0.00000
     -58.69604       0.00000
     -58.66104       0.00000
     -58.62504       0.00000
     -58.59004       0.00000
     -58.55504       0.00000
     -58.51904       0.00000
     -58.48404       0.00000
     -58.44804       0.00000
     -58.41304       0.00000
     -58.37704       0.00000
     -58.34204       0.00000
     -58.30604       0.00000
     -58.27104       0.00000
     -58.23604       0.00000
     -58.20004       0.00000
     -58.16504       0.00000
     -58.12904       0.00000
     -58.09404       0.00000
     -58.05804       0.00000
     -58.02304       0.00000
     -57.98804       0.00000
     -57.95204       0.00000
     -57.91704       0.00000
     -57.88104       0.00000
     -57.84604       0.00000
     -57.81004       0.00000
     -57.77504       0.00000
     -57.73904       0.00000
     -57.70404       0.00000
     -57.66904       0.00000
     -57.63304       0.00000
     -57.59804       0.00000
     -57.56204       0.00000
     -57.52704       0.00000
     -57.49104       0.00000
     -57.45604       0.00000
     -57.42004       0.00000
     -57.38504       0.00000
     -57.35004       0.00000
     -57.31404       0.00000
     -57.27904       0.00000
     -57.24304       0.00000
     -57.20804       0.00000
     -57.17204       0.00000
     -57.13704       0.00000
     -57.10104       0.00000
     -57.06604       0.00000
     -57.03104       0.09837
     -56.99504       0.88895
     -56.96004       2.22941
     -56.92404       2.87766
     -56.88904       2.87766
     -56.85304       2.87766
     -56.81804       2.87766
     -56.78204       2.87766
     -56.74704       2.87766
     -56.71204       2.87766
     -56.67604       2.87766
     -56.64104       2.87766
     -56.60504       2.87766
     -56.57004       2.87766
     -56.53404       2.87766
     -56.49904       2.87766
     -56.46304       2.87766
     -56.42804       2.87766
     -56.39304       2.87766
     -56.35704       2.87766
     -56.32204       2.87766
     -56.28604       2.87766
     -56.25104       2.87766
     -56.21504       2.87766
     -56.18004       2.87766
     -56.14404       2.87766
     -56.10904       2.87766
     -56.07404       2.87766
     -56.03804       2.87766
     -56.00304       2.87766
     -55.96704       2.87766
     -55.93204       2.87766
     -55.89604       2.87766
     -55.86104       2.87766
     -55.82504       2.87766
     -55.79004       2.87766
     -55.75504       2.87766
     -55.71904       2.87766
     -55.68404       2.87766
     -55.64804       2.87766
     -55.61304       2.87766
     -55.57704       2.87766
     -55.54204       2.87766
     -55.50604       2.87766
     -55.47104       2.87766
     -55.43604       2.87766
     -55.40004       2.87766
     -55.36504       2.87766
     -55.32904       2.87766
     -55.29404       2.87766
     -55.25804       2.87766
     -55.22304       2.87766
     -55.18804       2.87766
     -55.15204       2.87766
     -55.11704       2.87766
     -55.08104       2.87766
     -55.04604       2.87766
     -55.01004       2.87766
     -54.97504       2.87766
     -54.93904       2.87766
